ID,Level,Category,Content,Type,Image ,,,,,
167,Beginner,Fruits,Banana,word,file:///D:/jdk/FYP/Dataset_images/100-200/bananas.svg,,,,,
168,Beginner,Fruits,Orange,word,file:///D:/jdk/FYP/Dataset_images/100-200/oranges.svg,,,,,
169,Beginner,Fruits,Grapes,word,file:///D:/jdk/FYP/Dataset_images/100-200/grapes.svg,,,,,
170,Beginner,Fruits,Pear,word,file:///D:/jdk/FYP/Dataset_images/100-200/pear.svg,,,,,
171,Beginner,Emotions,happy,word,file:///D:/jdk/FYP/Dataset_images/100-200/happy.svg,,,,,
172,Beginner,Emotions,sad,word,file:///D:/jdk/FYP/Dataset_images/100-200/sad.svg,,,,,
173,Beginner,Emotions,mad,word,file:///D:/jdk/FYP/Dataset_images/100-200/mad.svg,,,,,
174,Beginner,Emotions,scared,word,file:///D:/jdk/FYP/Dataset_images/100-200/scared.svg,,,,,
175,Beginner,Emotions,excited,word,file:///D:/jdk/FYP/Dataset_images/100-200/excited.svg,,,,,
176,Beginner,Emotions,bored,word,file:///D:/jdk/FYP/Dataset_images/100-200/bore.svg,,,,,
177,Beginner,Emotions,sleepy,word,file:///D:/jdk/FYP/Dataset_images/100-200/sleepy.svg,,,,,
178,Beginner,Emotions,surprised,word,file:///D:/jdk/FYP/Dataset_images/100-200/surprised.svg,,,,,
179,Beginner,Emotions,tired,word,file:///D:/jdk/FYP/Dataset_images/100-200/tired.svg,,,,,
180,Beginner,Emotions,calm,word,file:///D:/jdk/FYP/Dataset_images/100-200/calm.svg,,,,,
181,Beginner,Emotions,nervous,word,file:///D:/jdk/FYP/Dataset_images/100-200/nervous.svg,,,,,
182,Beginner,Emotions,proud,word,file:///D:/jdk/FYP/Dataset_images/100-200/proud.svg,,,,,
183,Beginner,Emotions,shy,word,file:///D:/jdk/FYP/Dataset_images/100-200/Shy-Child.svg,,,,,
184,Beginner,Emotions,silly,word,file:///D:/jdk/FYP/Dataset_images/100-200/silly.svg,,,,,
185,Beginner,Emotions,angry,word,file:///D:/jdk/FYP/Dataset_images/100-200/angry.svg,,,,,
186,Beginner,Emotions,confused,word,file:///D:/jdk/FYP/Dataset_images/100-200/confused.svg,,,,,
187,Beginner,Emotions,curious,word,file:///D:/jdk/FYP/Dataset_images/100-200/curious.svg,,,,,
188,Beginner,Emotions,friendly,word,file:///D:/jdk/FYP/Dataset_images/100-200/friendly.svg,,,,,
189,Beginner,Emotions,loving,word,file:///D:/jdk/FYP/Dataset_images/100-200/lonely.svg,,,,,
190,Beginner,Emotions,upset,word,,,,,,
